eventID,specificEpithet,scientificName,scientificNameID,scientificAuthorityName,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,occurrenceID,occurrenceStatus,preservation
IYS2019-Kaganovsky-2-1,septentrionalis,Tomopteris septentrionalis,urn:lsid:marinespecies.org:taxname:131568,"Steenstrup, 1849",NA,NA,Species,accepted,NA,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,IYS2019-Kaganovsky-2-1-zoop_occ-76,present,formalin
IYS2019-Kaganovsky-2-1,longiremis,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,"(Lilljeborg, 1853)",C5,NA,Species,alternate representation,NA,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,IYS2019-Kaganovsky-2-1-zoop_occ-77,present,formalin
IYS2019-Kaganovsky-2-1,minor,Alacia minor,urn:lsid:marinespecies.org:taxname:172451,"(McHardy, 1964)",NA,NA,Species,accepted,NA,Animalia,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia,IYS2019-Kaganovsky-2-1-zoop_occ-78,present,formalin
IYS2019-Kaganovsky-2-1,NA,Atlanta,urn:lsid:marinespecies.org:taxname:137687,"Lesueur, 1817",NA,NA,Genus,accepted,sp. indet.,Animalia,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,IYS2019-Kaganovsky-2-1-zoop_occ-79,present,formalin
IYS2019-Kaganovsky-2-1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",C1,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,IYS2019-Kaganovsky-2-1-zoop_occ-80,present,formalin
IYS2019-Kaganovsky-2-1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",C2,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,IYS2019-Kaganovsky-2-1-zoop_occ-81,present,formalin
IYS2019-Kaganovsky-2-1,NA,Calanus,urn:lsid:marinespecies.org:taxname:104152,"Leach, 1816",C3,NA,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Calanus,IYS2019-Kaganovsky-2-1-zoop_occ-82,present,formalin
IYS2019-Kaganovsky-2-1,styliremis,Calocalanus styliremis,urn:lsid:marinespecies.org:taxname:104673,"Giesbrecht, 1888",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,IYS2019-Kaganovsky-2-1-zoop_occ-83,present,formalin
IYS2019-Kaganovsky-2-1,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,NA,juvenile,NA,Phylum,accepted,sp. indet.,Animalia,Chaetognatha,NA,NA,NA,NA,IYS2019-Kaganovsky-2-1-zoop_occ-84,present,formalin
IYS2019-Kaganovsky-2-1,parapergens,Clausocalanus parapergens,urn:lsid:marinespecies.org:taxname:104507,"Frost & Fleminger, 1968",C6,F,Species,accepted,NA,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,IYS2019-Kaganovsky-2-1-zoop_occ-85,present,formalin
