eventID,verbatimIdentification,scientificName,scientificNameID,scientificNameAuthorship,lifeStage,sex,taxonRank,taxonomicStatus,identificationQualifier,kingdom,phylum,class,order,family,genus,identificationRemarks,previousIdentifications,specificEpithet,occurrenceID,occurrenceStatus,basisOfRecord
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus sp.,"Pseudocalanus (Boeck, 1872)",urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C4,,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-49,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus sp.,"Pseudocalanus (Boeck, 1872)",urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C5,F,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-50,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudocalanus sp.,"Pseudocalanus (Boeck, 1872)",urn:lsid:marinespecies.org:taxname:104165,"Boeck, 1872",C5,M,Genus,accepted,sp. indet.,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-51,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Pseudosagitta scrippsae,"Pseudosagitta scrippsae (Alvariño, 1962)",urn:lsid:marinespecies.org:taxname:266259,"Alvariño, 1962",,,Species,unaccepted,,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Pseudosagitta,,,scrippsae,IYS2019-Kaganovsky-1-Bongo-1-52,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Racovitzanus antarcticus,"Racovitzanus antarcticus (Giesbrecht, 1902)",urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",C3,,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,,Racovitzanus sp.,antarcticus,IYS2019-Kaganovsky-1-Bongo-1-53,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Racovitzanus antarcticus,"Racovitzanus antarcticus (Giesbrecht, 1902)",urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",C5,,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,,,antarcticus,IYS2019-Kaganovsky-1-Bongo-1-54,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Racovitzanus antarcticus,"Racovitzanus antarcticus (Giesbrecht, 1902)",urn:lsid:marinespecies.org:taxname:104784,"Giesbrecht, 1902",C6,F,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,,,antarcticus,IYS2019-Kaganovsky-1-Bongo-1-55,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Scolecithricella minor,"Scolecithricella minor (Brady, 1883)",urn:lsid:marinespecies.org:taxname:104811,"Brady, 1883",C5,,Species,alternate representation,,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,,,minor,IYS2019-Kaganovsky-1-Bongo-1-56,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Scolecithricella minor,"Scolecithricella minor (Brady, 1883)",urn:lsid:marinespecies.org:taxname:104811,"Brady, 1883",C6,F,Species,alternate representation,,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,,,minor,IYS2019-Kaganovsky-1-Bongo-1-57,present,PreservedSpecimen
IYS2019-Kaganovsky-1-Bongo-1,Spionidae sp.,"Spionidae (Grube, 1850)",urn:lsid:marinespecies.org:taxname:913,"Grube, 1850",larva,,Family,accepted,sp. indet.,Animalia,Annelida,Polychaeta,Spionida,Spionidae,,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-1-Bongo-1-58,present,PreservedSpecimen
IYS2019-Kaganovsky-10-Bongo-1,Aglantha digitale,"Aglantha digitale (O. F. Müller, 1776)",urn:lsid:marinespecies.org:taxname:117849,"O. F. Müller, 1776",,,Species,accepted,,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,,,digitale,IYS2019-Kaganovsky-10-Bongo-1-1,present,PreservedSpecimen
IYS2019-Kaganovsky-10-Bongo-1,Aglantha digitale,"Aglantha digitale (O. F. Müller, 1776)",urn:lsid:marinespecies.org:taxname:117849,"O. F. Müller, 1776",,,Species,accepted,,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,,,digitale,IYS2019-Kaganovsky-10-Bongo-1-2,present,PreservedSpecimen
IYS2019-Kaganovsky-10-Bongo-1,Atlanta sp.,"Atlanta (Lesueur, 1817)",urn:lsid:marinespecies.org:taxname:137687,"Lesueur, 1817",,,Genus,accepted,sp. indet.,Animalia,Mollusca,Gastropoda,Littorinimorpha,Atlantidae,Atlanta,"Taxonomist suspects that the individuals are all a single species, but unsure which species.",,,IYS2019-Kaganovsky-10-Bongo-1-3,present,PreservedSpecimen
IYS2019-Kaganovsky-10-Bongo-1,Bradyidius similis,"Bradyidius similis (Sars G.O., 1902)",urn:lsid:marinespecies.org:taxname:104283,"Sars G.O., 1902",C4,,Species,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Aetideidae,Bradyidius,,,similis,IYS2019-Kaganovsky-10-Bongo-1-4,present,PreservedSpecimen
IYS2019-Kaganovsky-10-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C1,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-10-Bongo-1-5,present,PreservedSpecimen
IYS2019-Kaganovsky-10-Bongo-1,Neocalanus+Calanus C1-C3,"Calanidae (Dana, 1849)",urn:lsid:marinespecies.org:taxname:104079,"Dana, 1849",C2,,Family,accepted,,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,,,,,IYS2019-Kaganovsky-10-Bongo-1-6,present,PreservedSpecimen
