eventID,lifeStage,sex,scientificName,scientificNameID,identificationQualifier,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,taxonRank,taxonomicStatus,occurrenceRemarks,occurrenceID,occurrenceStatus,preparations,vernacularName,specificEpithet,reproductiveCondition,basisOfRecord
IYS:GoA2020:StnP PRIME:bongo:Net1,C1,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Boeck, 1865",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:55,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C2,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Boeck, 1865",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:56,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C3,NA,Metridia,urn:lsid:marinespecies.org:taxname:104190,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,"Boeck, 1865",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:57,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C4,NA,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"(Krøyer, 1848)",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:58,present,Formalin,NA,cristatus,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C1,NA,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"Sars G.O., 1925",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:59,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C2,NA,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"Sars G.O., 1925",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:60,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C3,NA,Neocalanus,urn:lsid:marinespecies.org:taxname:104155,sp. indet.,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"Sars G.O., 1925",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:61,present,Formalin,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,NA,NA,Oikopleura (Vexillaria) dioica,urn:lsid:marinespecies.org:taxname:103407,NA,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,"Fol, 1872",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:62,present,Formalin,NA,(Vexillaria),NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,M,Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,NA,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,"Farran, 1908",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:63,present,Formalin,NA,atlantica,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,NA,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,"Farran, 1908",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:64,present,Formalin,NA,atlantica,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C6,F,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,NA,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,"Claus, 1866",Species,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:65,present,Formalin,NA,similis,NA,PreservedSpecimen
IYS:GoA2020:StnP PRIME:bongo:Net1,C5,NA,Oithona,urn:lsid:marinespecies.org:taxname:106485,sp. indet.,Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,"Baird, 1843",Genus,accepted,NA,IYS:GoA2020:StnP PRIME:bongo:Net1:66,present,Formalin,NA,NA,NA,PreservedSpecimen
